season,episode_number,title,airdate,rating,total_votes,desc,cast
2,3,Bad Money,26 Apr. 2015,8.0,1661,"While considering Gavin's proposal, Richard is approached by a billionaire.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Chris Diamantopoulos', 'Bernard White', 'Walter Mossberg', 'Scott Prendergast', 'Diallo Riddle', 'Kara Swisher', 'Justin Levine', 'Michael McGee']"
2,4,The Lady,3 May 2015,7.8,1626,Richard butts heads with Erlich over a prospective hire; Dinesh and Gilfoyle grow suspicious.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Chris Diamantopoulos', 'Patrick Fischler', 'Charlie Saxton', 'Gabriel Tigerman', 'Alice Wetterlund', 'Jill E. Alexander', 'Julia Cho', 'Jessie Cohen']"
2,5,Server Space,10 May 2015,8.0,1613,Gavin's interference causes Pied Piper to struggle with securing their expansion.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Frank Collison', 'Andy Daly', 'Patrick Fischler', 'Aly Mawji', 'Adam Ray', 'Brian Tichnell', 'Alice Wetterlund', 'Diane Chernansky']"
2,6,Homicide,17 May 2015,8.7,1880,Monica encourages the guys to pounce on an opportunity; Erlich reconnects with a former mentee.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Chris Diamantopoulos', 'Aly Mawji', 'Michael McMillian', 'Dustin Milligan', 'Brian Tichnell', 'Alice Wetterlund', 'Bernard White', 'Dana White']"
2,7,Adult Content,24 May 2015,8.4,1634,"With the Pied Piper team fielding job offers, Richard faces the prospect of folding.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Ben Feldman', 'Ian Alda', 'Chris Diamantopoulos', 'J.J. Nolan', 'Romy Rosemont', 'Alice Wetterlund', 'Joshua Chang', 'Anna Khaja']"
2,8,White Hat/Black Hat,31 May 2015,8.2,1685,Richard accidentally sparks a feud that leads him to become paranoid about security.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Jill E. Alexander', 'Chris Diamantopoulos', 'Patrick Fischler', 'Aly Mawji', 'Rogelio T. Ramos', 'Romy Rosemont', 'Scott Prendergast', 'Brian Tichnell']"
2,9,Binding Arbitration,7 Jun. 2015,8.7,1741,"Erlich demands to be put on stand as Pied Piper and Hooli enter Arbitration. Richard faces a moral dilemma now that he realizes that Hooli's claim may have successful potential. Meanwhile back at Pied Piper headquarters, Jared, Dinesh and Gilfoyle question a profound theory and its affiliation to their live stream.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Ben Feldman', 'Patrick Daniel', 'Aly Mawji', 'Matt McCoy', 'Karen Strassman', 'Brian Tichnell', 'Cate Cohen', 'Stephanie Rose Feldman']"
2,10,Two Days of the Condor,14 Jun. 2015,9.2,2385,"The verdict on Pied Piper's fate coincides with a startling real-life drama that makes their livestream immensely popular, and emotions run high as the gang tries to keep the company together.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Frank Collison', 'Patrick Daniel', 'Chris Diamantopoulos', 'Matt McCoy', 'Alyson Reed', 'Karen Strassman', 'Bernard White', 'Joseph Auger']"
3,1,Founder Friendly,24 Apr. 2016,8.1,1693,"After being unceremoniously fired, an angry Richard faces a tough decision: accept the diminished role of CTO, or leave Pied Piper for good. Erlich takes a shine to Jack Barker, Laurie's new choice of CEO, while Dinesh and Gilfoyle weigh their options in Richard's absence. At Hooli, Gavin tries to improve his image by admitting failure, and Big Head gets wind of major changes.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Jill E. Alexander', 'Aly Mawji', 'Scott Prendergast', 'Rogelio T. Ramos', 'Brian Tichnell', 'Ben Feldman', 'Matt McCoy', 'Gabriel Tigerman']"
3,2,Two in the Box,1 May 2016,8.0,1513,"The new and improved Pied Piper impresses Dinesh and Gilfoyle, but worries Richard; Jared and Erlich face housing issues; Gavin suggests a controversial move.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Jill E. Alexander', 'Aly Mawji', 'Scott Prendergast', 'Rogelio T. Ramos', 'Brian Tichnell', 'Andy Daly', 'Brian Gattas', 'Stephen Tobolowsky']"
3,3,Meinertzhagen's Haversack,8 May 2016,8.5,1678,Richard searches for a way around Jack; Gilfoyle opens himself up to recruiters; Dinesh draws unwanted attention from a recent purchase.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Aly Mawji', 'Brian Tichnell', 'Ian Alda', 'Stephen Tobolowsky', 'Alice Wetterlund', 'Tammy Dahlstrom', 'Ren Hanami', 'Jennifer Jalene']"
3,4,Maleant Data Systems Solutions,15 May 2016,8.5,1555,The Pied Piper guys struggle to phone it in; Erlich faces competition; Monica takes a stand; Gavin makes a decision about Nucleus.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Jill E. Alexander', 'Aly Mawji', 'Rogelio T. Ramos', 'Brian Tichnell', 'Ian Alda', 'Stephen Tobolowsky', 'Bernard White', 'Keye Chen']"
3,5,The Empty Chair,22 May 2016,7.9,1440,"Richard lets his ego get in the way at an interview; Dinesh, Gilfoyle and Jared misplace hardware; Erlich pitches his plans to Big Head.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Annie Sertich', 'Frank Birney', 'Erin Breen', 'Keye Chen', 'Dustyn Gulledge', 'Chelsey Ireland', 'Phillip Jeanmarie', 'Eddie Liu']"
3,6,Bachmanity Insanity,29 May 2016,8.0,1468,Richard's new relationship is threatened by neuroses; Big Head and Erlich's launch party has snags; Dinesh falls for a foreign coworker.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Bridey Elliott', 'Ken Lerner', 'Michael McMillian', 'Annie Sertich', 'Chris Williams', 'Cate Cohen', 'Julie Dove', 'Alan Gray']"
3,7,To Build a Better Beta,5 Jun. 2016,8.2,1415,Richard decides to test the Pied Piper beta. Erlich finds himself in financial trouble.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Aly Mawji', 'Brian Tichnell', 'Ian Alda', 'Anjali Bhimani', 'Ken Lerner', 'Annie Sertich', 'Milana Vayntrub', 'Chris Williams']"
3,8,Bachman's Earnings Over-Ride,12 Jun. 2016,8.4,1398,"Erlich tries to be honest with Richard, who has mixed emotions about their friendship and the future of Pied Piper. Meanwhile, Jared's new company apparel turns heads but fuels yet another clash between Dinesh and Gilfoyle.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Jill E. Alexander', 'Chris Diamantopoulos', 'George Kareman', 'Annie Sertich', 'Stephen Tobolowsky', 'Emily Chang', 'Dick Costolo', 'Anna Khaja']"
3,9,Daily Active Users,19 Jun. 2016,8.2,1432,"Shocking stats are revealed and prompt Richard to bridge the gap between Pied Piper and its users, but Jared must go to extremes to keep everything intact. Meanwhile, Gavin tries to recapture his former glory by bringing in new talent after discovering secrets about the competition.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Jill E. Alexander', 'Bill Hader', 'Gabriel Tigerman', 'Stephen Tobolowsky', 'Bernard White', 'Chris Williams', 'Mayank Bhatter', 'Emily Chang']"
3,10,The Uptick,26 Jun. 2016,8.6,1564,"Pied Piper's future is hazy, but Erlich's industry profile begins to rise, creating a moral dilemma for Richard as Dinesh's new app starts to catch on. Meanwhile, Laurie makes plans for her exit; and Gavin's pompous personality haunts his comeback at Hooli.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Jill E. Alexander', 'Annie Sertich', 'Stephen Tobolowsky', 'Chris Williams', 'Mark Bloom', 'Keye Chen', 'Ari Frenkel', 'Alyssa Rodriguez']"
4,1,Success Failure,23 Apr. 2017,8.1,1601,The guys struggle to find funding for Pied Piper's video chat app to keep up with their rapidly growing user base. Erlich faces resistance from Big Head's father. Jack steps on Gavin's toes at Hooli. Richard gets sage advice.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Stephen Tobolowsky', 'Chris Diamantopoulos', 'Scott Prendergast', 'Rogelio T. Ramos', ""Patrick O'Connor"", 'Chris Williams', 'Amberia Allen', 'Tim Chiou']"
4,2,Terms of Service,30 Apr. 2017,8.5,1551,Richard butts heads with Dinesh; Erlich makes a play to be involved in Jian-Yang's new app; Jared sets ground rules in his friendship with Richard; Gavin's paranoia over Jack's enthusiasm causes him to make a rash decision.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Stephen Tobolowsky', 'Chris Diamantopoulos', 'Sunkrish Bala', 'Matt McCoy', 'Bernard White', 'Chris Williams', 'Andrew Asper', 'Allison Bills']"
4,3,Intellectual Property,7 May 2017,8.5,1462,Dinesh gets back to the ground while Richard continues to explore his new project. Gavin tries to come out of the new problem he has gotten himself into.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Stephen Tobolowsky', 'Chris Diamantopoulos', 'Sunkrish Bala', 'Andy Daly', 'Vanessa Marano', 'Phoebe Neidhardt', 'Chris Williams', 'Emily Adams']"
4,4,Teambuilding Exercise,14 May 2017,8.0,1348,"The SeeFood demo is being prepared, and Big Head's professorship is proving beneficial to his students.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Stephen Tobolowsky', 'Chris Diamantopoulos', 'Sunkrish Bala', 'Vanessa Marano', 'Demetri Belardinelli', 'Chau Long', 'Taylor F. Bailey', 'Emily Brooks']"
4,5,The Blood Boy,21 May 2017,8.0,1340,Cracks in Richard's latest partnership become more apparent when he has to deal with an unexpected interloper; Dinesh scrambles to find a way out of his new relationship; Monica learns of surprising developments at Raviga.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Stephen Tobolowsky', 'Chris Diamantopoulos', 'Phoebe Neidhardt', 'Graham Rogers', 'Vince Cefalu', 'Jay Charan', 'Tim Chiou', 'Kristen Rozanski']"
4,6,Customer Service,28 May 2017,7.9,1313,The guys struggle for funding to launch the latest iteration of Pied Piper. Erlich seeks to join the new VC firm formed by Laurie and Monica. Dinesh and Gilfoyle clash over the alpha build.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Stephen Tobolowsky', 'Chris Diamantopoulos', 'Jake Broder', 'Leisha Hailey', 'Haley Joel Osment', 'Seril James', 'Amir M. Korangy', 'Robert Michael Lee']"
4,7,The Patent Troll,4 Jun. 2017,7.9,1284,Richard takes on a patent troll; Gilfoyle battles a smart fridge; Jared embraces multiple identities; Erlich tries to spend time with a new crowd.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Stephen Tobolowsky', 'Chris Diamantopoulos', 'Andy Daly', 'Ben Feldman', 'Joseph Bayard', 'Edwin R. Habacon', 'Tim Chiou', 'Irene Choi']"
4,8,The Keenan Vortex,11 Jun. 2017,8.0,1275,"Richard ponders a deal with the tech world's latest ""it"" boy; Jack faces setbacks.","['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Stephen Tobolowsky', 'Chris Diamantopoulos', 'Jake Broder', 'Haley Joel Osment', 'Chris Williams', 'Scott Prendergast', 'Rogelio T. Ramos', 'Amberia Allen']"
4,9,Hooli-Con,18 Jun. 2017,8.4,1336,The Pied Piper guys try to pull off a stealth plan at Hooli-Con.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Stephen Tobolowsky', 'Chris Diamantopoulos', 'Flula Borg', 'Bridey Elliott', 'C.S. Lee', 'Phoebe Neidhardt', 'Haley Joel Osment', 'Karan Soni']"
4,10,Server Error,25 Jun. 2017,8.4,1466,Richard finds himself in a web of lies; Jared plans his exit; Jack bets big; Gavin plots a comeback.,"['Thomas Middleditch', 'T.J. Miller', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Stephen Tobolowsky', 'Chris Diamantopoulos', 'Jake Broder', 'Leisha Hailey', 'C.S. Lee', 'Angela Ai', 'James Christopher Armas', 'Benny Briseño']"
5,1,Grow Fast or Die Slow,25 Mar. 2018,7.9,1520,The pressure to get things right stymies Richard and forces him to grow the company in a way he hadn't planned; Dinesh and Gilfoyle question their ability to make good choices; Gavin returns to Hooli and worries about becoming antiquated.,"['Thomas Middleditch', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Jill E. Alexander', 'Scott Prendergast', 'Rogelio T. Ramos', 'Ben Feldman', 'Andrew Leeds', 'Chloe Wepper', 'Chris Williams', 'Chris Aquilino', 'Kat Kuei Chen']"
5,2,Reorientation,1 Apr. 2018,7.7,1414,Richard manages a number of conflicts in his efforts to unite his new employees; Dinesh celebrates a new purchase that Gilfoyle looks to spoil; Jian-Yang goes to court; Gavin meets pushback over his signature and what it says about him.,"['Thomas Middleditch', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Scott Prendergast', 'Rogelio T. Ramos', 'Andy Daly', 'Chris Williams', 'Chris Aquilino', 'Allison Bills', 'Jordana Capra', 'Keye Chen', 'Don Dowe']"
5,3,Chief Operating Officer,8 Apr. 2018,8.2,1397,"The COO of a world class company asks to move to Pied Piper. At the same time, Richard deals with a lawsuit from the smart fridge company that Gilfoyle hacked.","['Thomas Middleditch', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Ben Feldman', 'Benjamin Koldyke', 'Dan Mintz', 'Chris Williams', 'Chris Aquilino', 'Chad Davis', 'Jeff Elam', 'Gita Reddy', 'Rachel Rosenbloom']"
5,4,Tech Evangelist,15 Apr. 2018,7.6,1329,"Attempting to woo a gaming company to PiperNet, Richard inadvertently angers a prized ally; Dinesh deals with a betrayal; Gavin leaves his underlings with a cryptic message; Jared gets inside information from Big Head.","['Thomas Middleditch', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Scott Prendergast', 'Rogelio T. Ramos', 'Neil Casey', 'A.D. Miles', 'Armen Weitzman', 'Chris Williams', 'Vishesh Chachra', 'Kunal Dudheker', 'Hailey Fyfe']"
5,5,Facial Recognition,22 Apr. 2018,8.0,1346,"Overshadowed by Jared in an on-camera interview, Richard's confidence wavers further when Laurie and Monica force him to work with Eklow, a new artificial-intelligence company; Gavin questions his future beyond Hooli.","['Thomas Middleditch', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Neil Casey', 'Suzanne Lenz', 'Todd Louiso', 'Tara Summers', 'Bernard White', 'Chris Williams', 'Chris Aquilino', 'Emily Chang', 'Kunal Dudheker']"
5,6,Artificial Emotional Intelligence,29 Apr. 2018,7.7,1255,"Richard decides to help when Laurie gets in a jam, but his lack of emotional discipline threatens to backfire on Pied Piper; Gavin tries to make a deal with a stubborn partner; Dinesh relishes a win; Jared bonds with a surprising figure.","['Thomas Middleditch', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Suzanne Lenz', 'Tzi Ma', 'Bernard White', 'Chris Williams', 'Chris Aquilino', 'Jeff Grace', 'Jeff Houkal', 'Oliver Jiahe Le', 'Julie Huei Lo']"
5,7,Initial Coin Offering,6 May 2018,7.9,1240,"As Pied Piper prepares to close on their Series B funding, Richard receives some unsettling news; Gilfoyle suggests a proposition; Monica is blunt with Richard; Dinesh competes with a co-worker; Gavin tries to charm small-town America.","['Thomas Middleditch', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Chris Diamantopoulos', 'Scott Prendergast', 'Rogelio T. Ramos', 'Keye Chen', 'Ben Feldman', 'Tzi Ma', 'Chris Williams', 'Tony Winters', 'Chris Aquilino']"
5,8,Fifty-One Percent,13 May 2018,9.0,2196,"PiperNet launches, but an early success makes Monica suspicious; Richard makes a surprising move; the team races against the clock as its future is threatened.","['Thomas Middleditch', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Scott Prendergast', 'Rogelio T. Ramos', 'Neil Casey', 'Tzi Ma', 'Aaron Sanders', 'Angela Ai', 'Chris Aquilino', 'Gatsby Coram', 'Kunal Dudheker']"
6,1,Artificial Lack of Intelligence,27 Oct. 2019,8.1,1473,Richard discovers his promise that Pied Piper won't collect user data is under threat; Jared longs for the past; Gilfoyle gets creative in dealing with Dinesh.,"['Thomas Middleditch', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Chris Diamantopoulos', 'Neil Casey', 'Helen Hong', 'Aaron Sanders', 'Bernard White', 'Chris Williams', 'Amy Anderson', 'Chris Aquilino', 'Aristotle Athari']"
6,2,Blood Money,3 Nov. 2019,8.0,1305,Richard meets a potential investor; Gilfoyle butts heads with HR; Gavin explores a leaner Hooli's future.,"['Thomas Middleditch', 'Josh Brener', 'Martin Starr', 'Kumail Nanjiani', 'Amanda Crew', 'Zach Woods', 'Matt Ross', 'Suzanne Cryer', 'Jimmy O. Yang', 'Chris Diamantopoulos', 'Sunkrish Bala', 'Arturo Castro', 'Helen Hong', 'Bernie Kopell', 'David Rees Snell', 'Bernard White', 'Chris Williams', 'Scott Prendergast']"
